epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84128,2.47394,3.30356,2.73093,0.00254,0.5,0.10362,0.05777,1.38553,3.62022,2.05517,1.667e-05,1.667e-05,1.667e-05
2,12.7888,2.30879,3.26419,2.60721,0.00263,0.5,0.26521,0.14928,1.43268,3.60417,2.1078,4.95149e-05,4.95149e-05,4.95149e-05
3,18.4585,2.13241,3.21873,2.46632,0.00289,0.5,0.4725,0.31225,1.49758,3.59139,2.14597,8.16997e-05,8.16997e-05,8.16997e-05
4,23.7763,2.0539,3.08556,2.31033,0.00309,0.5,0.4725,0.3325,1.39572,3.59951,2.10353,0.000113224,0.000113224,0.000113224
5,29.1556,1.96012,3.02879,2.28672,0.00503,0.75,0.49836,0.3541,1.38547,3.57054,2.08226,0.000144089,0.000144089,0.000144089
6,34.3325,1.87789,3.02756,2.23601,0.00509,0.75,0.49836,0.31687,1.39744,3.57075,2.10717,0.000174293,0.000174293,0.000174293
7,40.0869,1.70509,2.89446,2.08435,0.00509,0.75,0.49835,0.30675,1.36651,3.54758,2.05623,0.000203837,0.000203837,0.000203837
8,46.3621,1.74453,2.77423,2.07394,0.00464,0.625,0.49769,0.29078,1.3451,3.49445,2.05444,0.000232722,0.000232722,0.000232722
9,52.5194,1.62635,2.6644,2.06872,0.00548,0.625,0.49766,0.26803,1.44917,3.46749,2.08221,0.000260946,0.000260946,0.000260946
10,58.4208,1.6087,2.59241,2.05017,0.00621,0.625,0.49765,0.26238,1.5642,3.41413,2.21955,0.000288509,0.000288509,0.000288509
11,64.8565,1.64599,2.44227,2.06743,0.00722,0.625,0.49764,0.25779,1.6387,3.33602,2.33549,0.000315413,0.000315413,0.000315413
12,70.6269,1.68271,2.40527,2.07763,0.00722,0.625,0.49764,0.25779,1.6387,3.33602,2.33549,0.000341657,0.000341657,0.000341657
13,77.0365,1.77049,2.26851,2.04758,0.008,0.5,0.4975,0.27733,1.62271,3.23737,2.24101,0.00036724,0.00036724,0.00036724
14,83.4373,1.75008,2.25396,2.01122,0.00792,0.625,0.49763,0.26718,1.60836,3.16797,2.0577,0.000392163,0.000392163,0.000392163
15,89.3805,1.61266,2.04303,1.96234,0.00792,0.625,0.49763,0.26718,1.60836,3.16797,2.0577,0.000416427,0.000416427,0.000416427
16,94.6482,1.62969,1.94852,1.98972,0.00973,0.625,0.49763,0.27514,1.41738,3.17383,1.88228,0.00044003,0.00044003,0.00044003
17,99.9342,1.55501,2.10511,1.94194,0.00928,0.75,0.49804,0.29334,1.41564,3.26011,1.89318,0.000462973,0.000462973,0.000462973
18,105.731,1.72504,2.01445,1.98884,0.00928,0.75,0.49804,0.29334,1.41564,3.26011,1.89318,0.000485255,0.000485255,0.000485255
19,111.825,1.62625,1.95332,1.97382,0.00877,0.875,0.49878,0.29437,1.61803,3.27819,1.98073,0.000506878,0.000506878,0.000506878
20,117.886,1.65939,2.05818,2.00207,0.00877,0.875,0.49878,0.29437,1.61803,3.27819,1.98073,0.000527841,0.000527841,0.000527841
21,123.537,1.56251,1.88315,1.86837,0.93547,0.5,0.49896,0.28046,1.67251,3.01078,2.06639,0.000548143,0.000548143,0.000548143
22,128.978,1.48751,1.87756,1.88742,0.93547,0.5,0.49896,0.28046,1.67251,3.01078,2.06639,0.000567785,0.000567785,0.000567785
23,134.889,1.62757,1.93615,2.0161,0.97264,0.5,0.49974,0.2064,1.84997,2.86033,2.4818,0.000586767,0.000586767,0.000586767
24,141.188,1.55224,1.83573,1.96101,0.97264,0.5,0.49974,0.2064,1.84997,2.86033,2.4818,0.000605089,0.000605089,0.000605089
25,147.031,1.538,1.6975,1.86298,0.96915,0.5,0.49984,0.16719,1.95603,2.87614,2.54123,0.000622751,0.000622751,0.000622751
